parname,pcchange.inipop.vals,pcchange.demobase.prod.mean,pcchange.demobase.survadult.mean,pcchange.impact.prod.mean,pcchange.impact.survadult.mean,inipop.vals,demobase.prod.mean,demobase.survadult.mean,impact.prod.mean,impact.survadult.mean,Year,Age,Scenario,Baseyear,Currently.Impacted,Impact.year,popsize.mean,popsize.sd,popsize.median,popsize.q1%,popsize.q2.5%,popsize.q5%,popsize.q10%,popsize.q20%,popsize.q25%,popsize.q33%,popsize.q66%,popsize.q75%,popsize.q80%,popsize.q90%,popsize.q95%,popsize.q97.5%,popsize.q99%,pgr.median,pgr.mean,pgr.sd,pgr.cilo,pgr.cihi,agr.median,agr.mean,agr.sd,agr.cilo,agr.cihi,ppc.median,ppc.mean,ppc.sd,ppc.cilo,ppc.cihi,m1.median,m1.mean,m1.sd,m1.cilo,m1.cihi,m2.median,m2.mean,m2.sd,m2.cilo,m2.cihi,m3,m4,m5,m6
impact.prod.mean,0,0,0,-20.3668693924556,0,153,1.54034268271644,0.651406335928477,0.0225404329874261,0.0248732860432938,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
impact.prod.mean,0,0,0,-13.5779129283037,0,153,1.54034268271644,0.651406335928477,0.0244620705906108,0.0248732860432938,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
impact.prod.mean,0,0,0,-6.78895646415185,0,153,1.54034268271644,0.651406335928477,0.0263837081937954,0.0248732860432938,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
impact.prod.mean,0,0,0,6.78895646415185,0,153,1.54034268271644,0.651406335928477,0.0302269834001646,0.0248732860432938,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
impact.prod.mean,0,0,0,13.5779129283037,0,153,1.54034268271644,0.651406335928477,0.0321486210033492,0.0248732860432938,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
impact.prod.mean,0,0,0,20.3668693924556,0,153,1.54034268271644,0.651406335928477,0.0340702586065338,0.0248732860432938,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
impact.prod.mean,0,0,0,27.1558258566074,0,153,1.54034268271644,0.651406335928477,0.0359918962097184,0.0248732860432938,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
impact.survadult.mean,0,0,0,0,-38.3629265590571,153,1.54034268271644,0.651406335928477,0.02830534579698,0.0153311655856808,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
impact.survadult.mean,0,0,0,0,-28.7721949192928,153,1.54034268271644,0.651406335928477,0.02830534579698,0.017716695700084,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
impact.survadult.mean,0,0,0,0,-19.1814632795285,153,1.54034268271644,0.651406335928477,0.02830534579698,0.0201022258144873,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
impact.survadult.mean,0,0,0,0,-9.59073163976427,153,1.54034268271644,0.651406335928477,0.02830534579698,0.0224877559288905,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
impact.survadult.mean,0,0,0,0,9.59073163976427,153,1.54034268271644,0.651406335928477,0.02830534579698,0.027258816157697,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
impact.survadult.mean,0,0,0,0,19.1814632795285,153,1.54034268271644,0.651406335928477,0.02830534579698,0.0296443462721003,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
impact.survadult.mean,0,0,0,0,28.7721949192928,153,1.54034268271644,0.651406335928477,0.02830534579698,0.0320298763865035,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
impact.survadult.mean,0,0,0,0,38.3629265590571,153,1.54034268271644,0.651406335928477,0.02830534579698,0.0344154065009068,2051,breeding.adults,impacted,2008,FALSE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,0
